artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count;;;;;;;;
3LW;0.052975;0.6885;273486.5;0.7235;2.71E-05;0.16705;-6.2725;0.09355;137.3405;0.6905;50.5;6;0;4;;;;;;;;
3M;0.218;0.833;151641;0.621;0;0.0926;-7.061;0.22;130.037;0.447;0;9;0;2;;;;;;;;
3OH!3;0.026313571;0.677071429;189452.6429;0.819142857;6.07E-05;0.2845;-3.731928571;0.169328571;116.5552143;0.544928571;57.07142857;5;1;14;;;;;;;;
3Phazegenerator;0.002002313;0.639325;427377.25;0.8708;0.842325;0.13923;-7.734375;0.0610125;136.902225;0.4222875;0;10;0;80;;;;;;;;
3T;0.349666667;0.669666667;320777.6667;0.435666667;0.000150967;0.330666667;-11.056;0.0342;113.091;0.479333333;45.33333333;10;0;3;;;;;;;;
3X Krazy;0.0165;0.719;358467;0.686;0;0.236;-4.169;0.0829;95.19;0.49;44;10;0;2;;;;;;;;
3kStatic;0.0336;0.804;349933;0.977;0.676;0.119;-3.65;0.0432;125.001;0.587;0;9;0;2;;;;;;;;
3rd Bass;0.122925;0.8035;243076.75;0.649;0;0.1559;-13.70925;0.2845;129.45975;0.5525;31;2;1;8;;;;;;;;
3rd Moon;0.000501;0.4695;146609.5;0.941;0.503;0.267;-9.821;0.0638;137.49;0.09845;7.5;10;0;4;;;;;;;;
3rd Strike;0.0075;0.444;249827;0.859;4.32E-05;0.24;-4.962;0.0484;99.655;0.394;38;2;1;2;;;;;;;;
4 Elements;0.016;0.553;202293;0.985;0.00638;0.0647;-6.174;0.0393;139.985;0.766;1;5;1;2;;;;;;;;
4 Non Blondes;0.18415;0.528666667;239673.3333;0.57;5.10E-07;0.126633333;-10.1005;0.03825;117.8765;0.446166667;48;7;1;12;;;;;;;;
4 P.M.;0.749;0.363;162093;0.388;0;0.363;-8.608;0.034;76.099;0.348;37;11;0;2;;;;;;;;
4 Skins;0.0104;0.2655;158007;0.9295;2.61E-06;0.6155;-4.733;0.125;154.4345;0.4985;32.5;11;0;4;;;;;;;;
4 Strings;0.000863017;0.538666667;133714;0.876;0.341733333;0.430166667;-7.161333333;0.098333333;134.6436667;0.253016667;25.5;1;0;6;;;;;;;;
40 Thevz;0.0102;0.76;311040;0.585;0.000476;0.308;-7.307;0.161;91.179;0.455;51;3;1;2;;;;;;;;
40 Thieves;0.0013;0.67;323209;0.889;0.446;0.0724;-8.982;0.0388;104.996;0.968;3;2;1;2;;;;;;;;
42 Dugg;0.208285714;0.848571429;168497;0.568428571;0;0.126171429;-5.051285714;0.284;117.3617143;0.370428571;73;8;1;7;;;;;;;;
42nd Street Ensemble;0.7915;0.357;372993.5;0.4855;0.003543965;0.17435;-13.1245;0.3079;126.15;0.292;14.5;7;1;4;;;;;;;;
45;0.678;0.692;225360;0.517;0;0.119;-7.027;0.0298;127.944;0.485;0;9;1;2;;;;;;;;
45 Grave;0.021413;0.438333333;177489;0.763666667;0.23566928;0.1207;-8.350666667;0.075733333;149.7286667;0.557666667;30.33333333;2;0;6;;;;;;;;
4509 STARPASS Prodcutions;0.784;0.628;256981;0.091;0.000944;0.102;-18.878;0.0398;130.486;0.152;0;0;1;2;;;;;;;;
4D;0.249;0.727;222433;0.846;0;0.916;-4.912;0.054;137.983;0.886;8;1;1;2;;;;;;;;
4Him;0.407333333;0.552666667;295814.3333;0.415;4.50E-07;0.097033333;-13.066;0.0316;121.155;0.365333333;30.66666667;4;1;6;;;;;;;;
4Tu;6.05E-05;0.7224;117086.2;0.7286;8.83E-05;0.3328;-5.1478;0.156;146.9734;0.267;1.4;9;1;10;;;;;;;;
5 Seconds of Summer;0.048295548;0.545645161;199902.7097;0.772516129;2.51E-06;0.163012903;-4.558870968;0.13716129;142.6011935;0.499580645;66;10;1;31;;;;;;;;
50 Cent;0.119906937;0.714711712;233485.3153;0.757459459;0.00031273;0.159030631;-3.838351351;0.264161261;102.1232703;0.605765766;54.61261261;11;1;111;;;;;;;;
50 Guitars of Tommy Garrett;0.791833333;0.496166667;168044.3333;0.286166667;0.22638;0.112466667;-12.67116667;0.0331;117.9436667;0.4965;24.66666667;7;1;12;;;;;;;;
504 Boyz;0.01643;0.809;212434;0.624;0;0.2355;-8.81;0.2565;125.0315;0.532;45.5;11;1;4;;;;;;;;
53A;0.0829;0.692;202511;0.779;0;0.38;-6.886;0.0439;129.057;0.792;20;4;1;2;;;;;;;;
54-40;0.291;0.669;166827;0.645;9.40E-06;0.132;-11.036;0.0305;119.179;0.929;42;0;1;2;;;;;;;;
5th Ward Boyz;0.158;0.842;352173;0.336;0;0.256;-8.227;0.379;78.001;0.599;36;4;0;1;;;;;;;;
6 Dogs;0.224;0.748;171907;0.66;0.053;0.101;-4.704;0.0487;137.033;0.328;64;6;1;2;;;;;;;;
6.9hz;0.0116;0.781;127434;0.851;0.0418;0.109;-10.552;0.0742;113.006;0.0372;0;1;0;2;;;;;;;;
69;9.30E-06;0.68;418546;0.502;0.528;0.276;-9.542;0.0414;125.008;0.073;0;4;0;2;;;;;;;;
69 Boyz;0.03269;0.851;256279.75;0.742;0;0.18345;-11.60925;0.22375;133.01425;0.6795;40.75;9;0;8;;;;;;;;
696;0.22257;0.64325;119830.375;0.626625;0.023819341;0.2124375;-9.1605;0.100275;127.147125;0.2575625;1.25;10;0;16;;;;;;;;
6LACK;0.257831429;0.654904762;223489.619;0.523142857;0.003220944;0.1312;-7.805571429;0.155233333;125.2394286;0.350409524;67.66666667;10;1;21;;;;;;;;
6ix9ine;0.1174;0.700454545;154665.9091;0.695272727;0;0.146818182;-4.844181818;0.2484;109.8874545;0.421818182;72.45454545;4;1;11;;;;;;;;
7 Seconds;1.18E-05;0.451;189200;0.908;0.00888;0.155;-11.616;0.0627;103.893;0.398;30;1;0;2;;;;;;;;
7 Skies;0.039948;0.618666667;346739.3333;0.903666667;0.3506;0.067366667;-6.72;0.0884;131.8426667;0.519666667;0;5;0;6;;;;;;;;
7 Year Bitch;9.03E-06;0.349;167333;0.709;0.0095;0.147;-12.339;0.0336;114.581;0.708;40;9;0;2;;;;;;;;
702;0.197222222;0.74;255970.2222;0.611222222;0.004330793;0.164422222;-8.151888889;0.065811111;99.07033333;0.59;51.33333333;10;1;9;;;;;;;;
707;0.0645;0.671;285533;0.707;0.0163;0.057;-11.549;0.0336;125.829;0.599;24;9;0;2;;;;;;;;
72 Soul;0.0161;0.908;457041;0.383;0.89;0.109;-10.52;0.0733;122.009;0.487;1;10;0;2;;;;;;;;
7AM At Heavens Gate;8.94E-05;0.596;510893;0.95;0.798;0.0649;-4.86;0.0646;140.005;0.106;0;11;1;2;;;;;;;;
7th Order;0.00353;0.195;150853;0.373;0.877;0.396;-15.306;0.0369;138.7;0.349;0;4;0;2;;;;;;;;
8 Wonders;0.000281;0.546;96703;0.651;0.947;0.126;-16.721;0.0315;138.971;0.176;6;1;0;1;;;;;;;;
